pT	OO_PGCM	OO_PGCM_unc	NeNe_PGCM	NeNe_PGCM_unc	OO_NLEFT	OO_NLEFT_unc	NeNe_NLEFT	NeNe_NLEFT_unc	XeXe	XeXe_unc	PbPb	PbPb_unc
82.	0.9979623205780768	0.010242497758958191	0.9914151925034006	0.012305212760008621	0.9974380910521179	0.01038148570642855	0.9946513541535112	0.011528438330956625	0.810579231263743	0.04846347325850703	0.7398027547410749	0.05734207695206134
83.	0.9980561098602028	0.010149600974612871	0.9915731651500143	0.01219526408500432	0.9975368852678459	0.010287384687792722	0.9947796228211297	0.011424733828045375	0.8121278026496959	0.04817661103003518	0.7417511762714731	0.057061842909868266
84.	0.9981331628446155	0.010059880972717483	0.9917113466275986	0.012088977015765057	0.9976187414699513	0.010196498836478385	0.9948892072306016	0.011324519909555297	0.8136140026071171	0.047893930098172	0.743630716555604	0.05678347286741492
85.	0.9981934795313149	0.009973337753271916	0.9918297369361538	0.01198635155229083	0.9976836596584343	0.010108828152485205	0.9949801073819269	0.011227796575486282	0.8150378311360066	0.04761543046291766	0.7454413755934673	0.05650696682470119
86.	0.998237059920301	0.009889971316276225	0.9919283360756799	0.011887387694581641	0.9977316398332947	0.010024372635813183	0.9950523232751056	0.011134563825838328	0.8163992882363644	0.047341112124272056	0.7471831533850634	0.05623232478172707
87.	0.9982639040115736	0.009809781661730521	0.9920071440461767	0.011792085442637545	0.9977626819945327	0.009943132286462486	0.9951058549101378	0.011044821660611492	0.8176983739081907	0.04707097508223518	0.7488560499303919	0.055959546738492794
88.	0.9982740118051331	0.009732768789634638	0.9920661608476443	0.011700444796458542	0.9977767861421482	0.009865107104433168	0.9951407022870236	0.010958570079805774	0.8189350881514852	0.04680501933680703	0.7504600652294531	0.055688632694998075
89.	0.9982673833009791	0.009658932699988743	0.9921053864800827	0.011612465756044521	0.9977739522761411	0.009790297089724953	0.9951568654057626	0.010875809083421117	0.820109430966248	0.04654324488798772	0.7519951992822468	0.05541958265124308
90.	0.9983353433898794	0.009573709180431489	0.9922309501505109	0.011511589533448052	0.9978464710067901	0.009703968486566183	0.9952553379946976	0.010780666320063526	0.8215011387603481	0.046277368526326745	0.7537545437326183	0.055157748700841114
91.	0.9983994652321447	0.009489605501855347	0.9923517115549518	0.011412036276067017	0.997915086165965	0.00961877416420448	0.9953493899315611	0.01068677244779137	0.8228699830240027	0.04601450360213005	0.7554864010294082	0.054898534640234975
92.	0.998456271167369	0.00940717627083315	0.9924636292832482	0.011314436544099415	0.9979762833185705	0.00953527518544145	0.9954351753657054	0.010594731887234421	0.824205311368563	0.04575496554079034	0.7571796102153292	0.054641736661197704
93.	0.9985057611955525	0.009326421487364733	0.9925667033354	0.011218790337545415	0.9980300624646063	0.00945347155027726	0.9955126942971304	0.010504544638392677	0.8255071237940291	0.04549875434230771	0.7588341712903812	0.05438735476372947
94.	0.9985479353166948	0.009247341151450206	0.9926609337114073	0.011125097656404903	0.9980764236040726	0.009373363258711853	0.9955819467258362	0.010416210701266193	0.8267754203004009	0.04524587000668212	0.7604500842545644	0.054135388947830154
95.	0.9985827935307964	0.009169935263089457	0.9927463204112699	0.011033358500677826	0.9981153667369693	0.009294950310745176	0.9956429326518229	0.010329730075854915	0.8280102008876783	0.04499631253391356	0.7620273491078786	0.053885839213499764
96.	0.9986103358378569	0.009094203822282598	0.992822863434988	0.01094357287036446	0.9981468918632964	0.009218232706377227	0.9956956520750904	0.010245102762158786	0.8292114655558614	0.044750081924002094	0.763565965850324	0.0536387055607383
97.	0.9986305622378764	0.009020146829029685	0.9928905627825615	0.010855740765464472	0.998170998983054	0.009143210445608174	0.9957401049956386	0.010162328760177919	0.8303792143049503	0.04450717817694755	0.7650659344819004	0.053393987989545866
